"1","Iron Man","Jon Favreau","Robert Downey Jr., Terrence Howard, Jeff Bridges, Shaun Toub, Gwyneth Paltrow"
"2","Glory","Edward Zwick","Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman"
"3","Evil Dead","Sam Raimi","Bruce Campbell, Ellen Sandweiss, Hal Delrich, Betsy Baker, Sarah York"
